nome,fabricante,quantidade,valor
Smartphone XYZ,TechCorp,50,1499.99
Notebook Pro,CompuWorld,30,3299.90
Tablet Alpha,DeviceMakers,70,899.50
Fone de Ouvido UltraSound,AudioMax,100,199.99
Teclado Gamer,KeyMasters,40,349.99
Monitor FullHD,ScreenTech,25,1099.90
Mouse Sem Fio,ClickSolutions,60,129.90
Impressora Multifuncional,PrintWorks,15,749.00
Caixa de Som Bluetooth,SoundPro,80,299.90
Câmera Digital,PhotoKing,20,2199.00
Smartwatch Fit,TimeTech,90,599.00
Carregador Rápido 50W,PowerMax,200,89.90
HD Externo 1TB,DataStore,35,499.90
Memória RAM 16GB,SpeedMem,45,699.99
Placa de Vídeo GTX 3050,GraphiX,10,2499.99
Headset Wireless Gamer,SoundMax,55,599.90
Teclado Mecânico RGB,LightKeys,60,449.99
SSD NVMe 512GB,FlashStore,70,599.90
Webcam Full HD,VideoConnect,25,399.90
Dock Station USB-C,ConnectHub,40,199.90
